@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
67,'2020/10/23 21:43:09:161',1,-1.263158,0.675901,0.707645,0.138383,0.221214
68,'2020/10/23 21:43:09:178',1,-1.263158,0.675901,0.707645,0.138383,0.221214
69,'2020/10/23 21:43:09:216',1,-1.263158,0.675901,0.707645,0.138383,0.221214
70,'2020/10/23 21:43:09:232',1,-1.263158,0.675901,0.707645,0.138383,0.221214
71,'2020/10/23 21:43:09:249',1,-1.263158,0.675901,0.707645,0.138383,0.221214
72,'2020/10/23 21:43:09:276',1,-1.263158,0.675901,0.707645,0.138383,0.221214
73,'2020/10/23 21:43:09:284',1,-1.263158,0.675901,0.707645,0.138383,0.221214
74,'2020/10/23 21:43:09:300',1,-1.263158,0.675901,0.707645,0.138383,0.221214
75,'2020/10/23 21:43:09:317',1,-1.263158,0.675901,0.707645,0.138383,0.221214
76,'2020/10/23 21:43:09:333',1,-1.263158,0.675901,0.707645,0.138383,0.221214
77,'2020/10/23 21:43:15:714',2,1.257618,0.681441,0.043994,0.015288,0.176982
78,'2020/10/23 21:43:15:731',2,1.257618,0.681441,0.043994,0.015288,0.176982
79,'2020/10/23 21:43:15:747',2,1.257618,0.681441,0.043994,0.015288,0.176982
80,'2020/10/23 21:43:15:764',2,1.257618,0.681441,0.043994,0.015288,0.176982
81,'2020/10/23 21:43:15:781',2,1.257618,0.681441,0.043994,0.015288,0.176982
82,'2020/10/23 21:43:15:797',2,1.257618,0.681441,0.043994,0.015288,0.176982
83,'2020/10/23 21:43:15:814',2,1.257618,0.681441,0.043994,0.015288,0.176982
84,'2020/10/23 21:43:15:831',2,1.257618,0.681441,0.043994,0.015288,0.176982
85,'2020/10/23 21:43:15:847',2,1.257618,0.681441,0.043994,0.015288,0.176982
86,'2020/10/23 21:43:15:864',2,1.257618,0.681441,0.043994,0.015288,0.176982
87,'2020/10/23 21:43:15:881',2,1.257618,0.681441,0.043994,0.015288,0.176982
88,'2020/10/23 21:43:15:897',2,1.257618,0.681441,0.043994,0.015288,0.176982
89,'2020/10/23 21:43:15:914',2,1.257618,0.681441,0.043994,0.015288,0.176982
90,'2020/10/23 21:43:15:931',2,1.257618,0.681441,0.043994,0.015288,0.176982
91,'2020/10/23 21:43:15:947',2,1.257618,0.681441,0.043994,0.015288,0.176982
92,'2020/10/23 21:43:15:964',2,1.257618,0.681441,0.043994,0.015288,0.176982
93,'2020/10/23 21:43:15:981',2,1.257618,0.681441,0.043994,0.015288,0.176982
94,'2020/10/23 21:43:15:997',2,1.257618,0.681441,0.043994,0.015288,0.176982
95,'2020/10/23 21:43:16:014',2,1.257618,0.681441,0.043994,0.015288,0.176982
96,'2020/10/23 21:43:16:031',2,1.257618,0.681441,0.043994,0.015288,0.176982
97,'2020/10/23 21:43:16:047',2,1.257618,0.681441,0.043994,0.015288,0.176982
98,'2020/10/23 21:43:16:064',2,1.257618,0.681441,0.043994,0.015288,0.176982
99,'2020/10/23 21:43:16:081',2,1.257618,0.681441,0.043994,0.015288,0.176982
100,'2020/10/23 21:43:16:097',2,1.257618,0.681441,0.043994,0.015288,0.176982
101,'2020/10/23 21:43:16:114',2,1.257618,0.681441,0.043994,0.015288,0.176982
102,'2020/10/23 21:43:16:131',2,1.257618,0.681441,0.043994,0.015288,0.176982
103,'2020/10/23 21:43:16:147',2,1.257618,0.681441,0.043994,0.015288,0.176982
104,'2020/10/23 21:43:16:163',2,1.257618,0.681441,0.043994,0.015288,0.176982
105,'2020/10/23 21:43:16:180',2,1.257618,0.681441,0.043994,0.015288,0.176982
106,'2020/10/23 21:43:16:196',2,1.257618,0.681441,0.043994,0.015288,0.176982
107,'2020/10/23 21:43:16:213',2,1.257618,0.681441,0.043994,0.015288,0.176982
108,'2020/10/23 21:43:16:230',2,1.257618,0.681441,0.043994,0.015288,0.176982
109,'2020/10/23 21:43:16:246',2,1.257618,0.681441,0.043994,0.015288,0.176982
110,'2020/10/23 21:43:16:264',2,1.257618,0.681441,0.043994,0.015288,0.176982
111,'2020/10/23 21:43:16:280',2,1.257618,0.681441,0.043994,0.015288,0.176982
112,'2020/10/23 21:43:16:297',2,1.257618,0.681441,0.043994,0.015288,0.176982
113,'2020/10/23 21:43:16:314',2,1.257618,0.681441,0.043994,0.015288,0.176982
114,'2020/10/23 21:43:16:330',2,1.257618,0.681441,0.043994,0.015288,0.176982
115,'2020/10/23 21:43:16:347',2,1.257618,0.681441,0.043994,0.015288,0.176982
116,'2020/10/23 21:43:16:364',2,1.257618,0.681441,0.043994,0.015288,0.176982
117,'2020/10/23 21:43:16:380',2,1.257618,0.681441,0.043994,0.015288,0.176982
118,'2020/10/23 21:43:16:397',2,1.257618,0.681441,0.043994,0.015288,0.176982
119,'2020/10/23 21:43:16:414',2,1.257618,0.681441,0.043994,0.015288,0.176982
120,'2020/10/23 21:43:16:430',2,1.257618,0.681441,0.043994,0.015288,0.176982
121,'2020/10/23 21:43:16:447',2,1.257618,0.681441,0.043994,0.015288,0.176982
122,'2020/10/23 21:43:16:464',2,1.257618,0.681441,0.043994,0.015288,0.176982
123,'2020/10/23 21:43:16:480',2,1.257618,0.681441,0.043994,0.015288,0.176982
124,'2020/10/23 21:43:16:497',2,1.257618,0.681441,0.043994,0.015288,0.176982
125,'2020/10/23 21:43:16:514',2,1.257618,0.681441,0.043994,0.015288,0.176982
126,'2020/10/23 21:43:16:530',2,1.257618,0.681441,0.043994,0.015288,0.176982
127,'2020/10/23 21:43:16:547',2,1.257618,0.681441,0.043994,0.015288,0.176982
128,'2020/10/23 21:43:16:564',2,1.257618,0.681441,0.043994,0.015288,0.176982
129,'2020/10/23 21:43:16:580',2,1.257618,0.681441,0.043994,0.015288,0.176982
130,'2020/10/23 21:43:16:597',2,1.257618,0.681441,0.043994,0.015288,0.176982
131,'2020/10/23 21:43:16:614',2,1.257618,0.681441,0.043994,0.015288,0.176982
132,'2020/10/23 21:43:16:657',2,1.257618,0.681441,0.043994,0.015288,0.176982
133,'2020/10/23 21:43:16:674',2,1.257618,0.681441,0.043994,0.015288,0.176982
134,'2020/10/23 21:43:16:690',2,1.257618,0.681441,0.043994,0.015288,0.176982
135,'2020/10/23 21:43:16:707',2,1.257618,0.681441,0.043994,0.015288,0.176982
136,'2020/10/23 21:43:16:724',2,1.257618,0.681441,0.043994,0.015288,0.176982
137,'2020/10/23 21:43:16:741',2,1.257618,0.681441,0.043994,0.015288,0.176982
138,'2020/10/23 21:43:16:758',2,1.257618,0.681441,0.043994,0.015288,0.176982
139,'2020/10/23 21:43:16:774',2,1.257618,0.681441,0.043994,0.015288,0.176982
140,'2020/10/23 21:43:16:790',2,1.257618,0.681441,0.043994,0.015288,0.176982
141,'2020/10/23 21:43:16:807',2,1.257618,0.681441,0.043994,0.015288,0.176982
142,'2020/10/23 21:43:16:824',2,1.257618,0.681441,0.043994,0.015288,0.176982
143,'2020/10/23 21:43:16:840',2,1.257618,0.681441,0.043994,0.015288,0.176982
144,'2020/10/23 21:43:16:857',2,1.257618,0.681441,0.043994,0.015288,0.176982
145,'2020/10/23 21:43:16:874',2,1.257618,0.681441,0.043994,0.015288,0.176982
146,'2020/10/23 21:43:16:890',2,1.257618,0.681441,0.043994,0.015288,0.176982
147,'2020/10/23 21:43:16:907',2,1.257618,0.681441,0.043994,0.015288,0.176982
148,'2020/10/23 21:43:16:924',2,1.257618,0.681441,0.043994,0.015288,0.176982
149,'2020/10/23 21:43:16:940',2,1.257618,0.681441,0.043994,0.015288,0.176982
150,'2020/10/23 21:43:16:957',2,1.257618,0.681441,0.043994,0.015288,0.176982
151,'2020/10/23 21:43:16:974',2,1.257618,0.681441,0.043994,0.015288,0.176982
152,'2020/10/23 21:43:16:990',2,1.257618,0.681441,0.043994,0.015288,0.176982
153,'2020/10/23 21:43:17:007',2,1.257618,0.681441,0.043994,0.015288,0.176982
154,'2020/10/23 21:43:17:024',2,1.257618,0.681441,0.043994,0.015288,0.176982
155,'2020/10/23 21:43:23:724',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
156,'2020/10/23 21:43:23:741',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
157,'2020/10/23 21:43:23:757',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
158,'2020/10/23 21:43:23:774',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
159,'2020/10/23 21:43:23:791',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
160,'2020/10/23 21:43:23:807',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
161,'2020/10/23 21:43:23:824',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
162,'2020/10/23 21:43:23:841',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
163,'2020/10/23 21:43:23:857',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
164,'2020/10/23 21:43:23:874',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
165,'2020/10/23 21:43:23:891',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
166,'2020/10/23 21:43:23:907',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
167,'2020/10/23 21:43:23:924',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
168,'2020/10/23 21:43:23:941',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
169,'2020/10/23 21:43:23:957',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
170,'2020/10/23 21:43:23:977',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
171,'2020/10/23 21:43:23:991',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
172,'2020/10/23 21:43:24:007',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
173,'2020/10/23 21:43:24:024',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
174,'2020/10/23 21:43:24:041',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
175,'2020/10/23 21:43:24:057',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
176,'2020/10/23 21:43:24:074',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
177,'2020/10/23 21:43:24:091',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
178,'2020/10/23 21:43:24:107',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
179,'2020/10/23 21:43:24:124',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
180,'2020/10/23 21:43:24:141',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
181,'2020/10/23 21:43:24:157',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
182,'2020/10/23 21:43:24:174',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
183,'2020/10/23 21:43:24:191',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
184,'2020/10/23 21:43:24:207',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
185,'2020/10/23 21:43:24:224',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
186,'2020/10/23 21:43:24:241',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
187,'2020/10/23 21:43:24:258',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
188,'2020/10/23 21:43:24:274',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
189,'2020/10/23 21:43:24:291',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
190,'2020/10/23 21:43:24:308',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
191,'2020/10/23 21:43:24:324',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
192,'2020/10/23 21:43:24:341',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
193,'2020/10/23 21:43:24:358',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
194,'2020/10/23 21:43:24:375',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
195,'2020/10/23 21:43:24:391',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
196,'2020/10/23 21:43:24:408',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
197,'2020/10/23 21:43:24:425',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
198,'2020/10/23 21:43:24:441',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
199,'2020/10/23 21:43:24:458',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
200,'2020/10/23 21:43:24:475',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
201,'2020/10/23 21:43:24:491',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
202,'2020/10/23 21:43:24:508',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
203,'2020/10/23 21:43:24:525',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
